date,channel,region,orders,revenue
2026-09-08,网上银行,华北,48,80647.4
2026-09-08,微信银行,华东,66,27591.63
2026-09-08,微信银行,华南,57,24150.72
2026-09-08,微信银行,华北,34,14292.66
2026-09-08,电话银行,华东,29,7480.64
2026-09-08,电话银行,华南,22,5535.94
2026-09-08,电话银行,华北,15,3807.14
2026-09-08,柜面,华东,21,65644.55
2026-09-08,柜面,华南,15,47622.72
2026-09-08,柜面,华北,10,32006.84
2026-09-09,手机银行,华东,150,182052.75
2026-09-09,手机银行,华南,98,111608.75
2026-09-09,手机银行,华北,58,69335.52
2026-09-09,网上银行,华东,84,132747.21
2026-09-09,网上银行,华南,66,108016.63
2026-09-09,网上银行,华北,47,74773.04
2026-09-09,微信银行,华东,71,29057.17
2026-09-09,微信银行,华南,49,20792.3
2026-09-09,微信银行,华北,33,13561.27
2026-09-09,电话银行,华东,29,7445.49
2026-09-09,电话银行,华南,24,6268.74
2026-09-09,电话银行,华北,14,3498.64
2026-09-09,柜面,华东,19,59642.04
2026-09-09,柜面,华南,15,48213.41
2026-09-09,柜面,华北,9,27065.58
2026-09-10,手机银行,华东,125,142408.38
2026-09-10,手机银行,华南,97,112491.14
2026-09-10,手机银行,华北,68,82045.6
2026-09-10,网上银行,华东,95,151353.34
2026-09-10,网上银行,华南,73,121291.5
2026-09-10,网上银行,华北,51,83492.98
2026-09-10,微信银行,华东,74,30465.26
2026-09-10,微信银行,华南,53,22359.91
2026-09-10,微信银行,华北,37,16106.43
2026-09-10,电话银行,华东,32,8617.95
2026-09-10,电话银行,华南,25,6655.26
2026-09-10,电话银行,华北,16,4104.81
2026-09-10,柜面,华东,21,67256.04
2026-09-10,柜面,华南,14,42294.06
2026-09-10,柜面,华北,10,31286.74
2026-09-11,手机银行,华东,156,178927.0
2026-09-11,手机银行,华南,107,126601.13
2026-09-11,手机银行,华北,62,71100.24
2026-09-11,网上银行,华东,97,164690.39
2026-09-11,网上银行,华南,69,114941.58
2026-09-11,网上银行,华北,45,73048.02
2026-09-11,微信银行,华东,71,29160.88
2026-09-11,微信银行,华南,50,21326.52
2026-09-11,微信银行,华北,37,15488.36
2026-09-11,电话银行,华东,29,7275.29
2026-09-11,电话银行,华南,22,5602.52
2026-09-11,电话银行,华北,16,4230.89
2026-09-11,柜面,华东,23,71514.13
2026-09-11,柜面,华南,15,48292.71
2026-09-11,柜面,华北,9,27748.95
2026-09-12,手机银行,华东,109,127295.21
2026-09-12,手机银行,华南,66,75882.96
2026-09-12,手机银行,华北,45,51079.32
2026-09-12,网上银行,华东,67,105791.99
2026-09-12,网上银行,华南,45,75571.32
2026-09-12,网上银行,华北,32,50933.1
2026-09-12,微信银行,华东,48,19754.36
2026-09-12,微信银行,华南,36,15316.41
2026-09-12,微信银行,华北,29,12379.09
2026-09-12,电话银行,华东,25,6462.33
2026-09-12,电话银行,华南,17,4410.6
2026-09-12,电话银行,华北,10,2655.36
2026-09-12,柜面,华东,14,42811.8
2026-09-12,柜面,华南,11,34910.05
2026-09-12,柜面,华北,8,24495.35
2026-09-13,手机银行,华东,111,134723.39
2026-09-13,手机银行,华南,75,86922.59
2026-09-13,手机银行,华北,48,56807.47
2026-09-13,网上银行,华东,74,125224.38
2026-09-13,网上银行,华南,48,79572.12
2026-09-13,网上银行,华北,32,54197.93
2026-09-13,微信银行,华东,55,22675.54
2026-09-13,微信银行,华南,37,15679.23
2026-09-13,微信银行,华北,24,10134.72
2026-09-13,电话银行,华东,23,6160.79
2026-09-13,电话银行,华南,16,4252.6
2026-09-13,电话银行,华北,13,3461.49
2026-09-13,柜面,华东,16,49807.58
2026-09-13,柜面,华南,12,35811.62
2026-09-13,柜面,华北,8,24434.66
2026-09-14,手机银行,华东,156,191135.21
2026-09-14,手机银行,华南,103,122762.16
2026-09-14,手机银行,华北,68,80031.49
2026-09-14,网上银行,华东,98,159121.88
2026-09-14,网上银行,华南,70,116010.05
2026-09-14,网上银行,华北,52,87545.59
2026-09-14,微信银行,华东,81,33182.86
2026-09-14,微信银行,华南,63,26147.2
2026-09-14,微信银行,华北,36,15631.75
2026-09-14,电话银行,华东,31,8274.86
2026-09-14,电话银行,华南,26,6877.21
2026-09-14,电话银行,华北,14,3634.28
2026-09-14,柜面,华东,24,77376.0
2026-09-14,柜面,华南,15,45594.88
2026-09-14,柜面,华北,11,34513.99
