date,channel,region,orders,revenue
2026-09-08,Web,South,64,4893.44
2026-09-08,Web,West,56,5036.08
2026-09-09,Mobile app,East,69,4767.21
2026-09-09,Mobile app,North,89,6023.52
2026-09-09,Mobile app,South,97,7213.89
2026-09-09,Mobile app,West,73,5391.78
2026-09-09,Phone,East,30,1472.4
2026-09-09,Phone,North,26,1308.58
2026-09-09,Phone,South,34,1848.24
2026-09-09,Phone,West,34,1996.14
2026-09-09,Store,East,43,4254.85
2026-09-09,Store,North,23,2323.46
2026-09-09,Store,South,39,3759.21
2026-09-09,Store,West,55,5753.0
2026-09-09,Web,East,62,5238.38
2026-09-09,Web,North,82,6930.64
2026-09-09,Web,South,58,4538.5
2026-09-09,Web,West,74,5942.2
2026-09-10,Mobile app,East,76,5609.56
2026-09-10,Mobile app,North,72,4371.84
2026-09-10,Mobile app,South,80,4496.8
2026-09-10,Mobile app,West,96,6099.84
2026-09-10,Phone,East,47,2220.28
2026-09-10,Phone,North,11,522.83
2026-09-10,Phone,South,11,595.32
2026-09-10,Phone,West,11,440.77
2026-09-10,Store,East,22,2203.3
2026-09-10,Store,North,26,2674.36
2026-09-10,Store,South,42,4454.94
2026-09-10,Store,West,34,3499.28
2026-09-10,Web,East,77,5477.01
2026-09-10,Web,North,49,3949.4
2026-09-10,Web,South,57,3990.57
2026-09-10,Web,West,81,6433.02
2026-09-11,Mobile app,East,68,4282.64
2026-09-11,Mobile app,North,64,3875.2
2026-09-11,Mobile app,South,72,4880.16
2026-09-11,Mobile app,West,72,4214.16
2026-09-11,Phone,East,15,614.85
2026-09-11,Phone,North,11,549.78
2026-09-11,Phone,South,11,616.33
2026-09-11,Phone,West,43,2160.32
2026-09-11,Store,East,54,5685.12
2026-09-11,Store,North,34,3677.78
2026-09-11,Store,South,58,5697.92
2026-09-11,Store,West,50,5717.5
2026-09-11,Web,East,61,5454.62
2026-09-11,Web,North,73,6291.87
2026-09-11,Web,South,81,6530.22
2026-09-11,Web,West,65,4909.45
2026-09-12,Mobile app,East,67,4927.18
2026-09-12,Mobile app,North,79,5074.17
2026-09-12,Mobile app,South,63,3725.82
2026-09-12,Mobile app,West,95,5423.55
2026-09-12,Phone,East,40,2183.6
2026-09-12,Phone,North,12,509.52
2026-09-12,Phone,South,36,1544.76
2026-09-12,Phone,West,36,1946.88
2026-09-12,Store,East,37,3587.52
2026-09-12,Store,North,49,5245.45
2026-09-12,Store,South,33,3136.32
2026-09-12,Store,West,57,5906.91
2026-09-12,Web,East,68,4894.64
2026-09-12,Web,North,80,6690.4
2026-09-12,Web,South,48,4146.24
2026-09-12,Web,West,64,4608.64
2026-09-13,Mobile app,East,80,5264.0
2026-09-13,Mobile app,North,60,3672.6
2026-09-13,Mobile app,South,60,3516.0
2026-09-13,Mobile app,West,84,6225.24
2026-09-13,Phone,East,27,1422.63
2026-09-13,Phone,North,31,1716.16
2026-09-13,Phone,South,31,1266.35
2026-09-13,Phone,West,23,1112.74
2026-09-13,Store,East,26,2620.28
2026-09-13,Store,North,30,3148.5
2026-09-13,Store,South,38,4030.28
2026-09-13,Store,West,30,3279.9
2026-09-13,Web,East,73,5390.32
2026-09-13,Web,North,45,3339.45
2026-09-13,Web,South,53,4159.44
2026-09-13,Web,West,61,4942.83
2026-09-14,Mobile app,East,94,6103.42
2026-09-14,Mobile app,North,82,4736.32
2026-09-14,Mobile app,South,82,5849.06
2026-09-14,Mobile app,West,90,5265.0
2026-09-14,Phone,East,37,1845.56
2026-09-14,Phone,North,49,2920.89
2026-09-14,Phone,South,41,2195.96
2026-09-14,Phone,West,25,1079.75
2026-09-14,Store,East,20,2027.0
2026-09-14,Store,North,56,5881.12
2026-09-14,Store,South,24,2536.08
2026-09-14,Store,West,48,5481.6
2026-09-14,Web,East,47,4151.51
2026-09-14,Web,North,67,5384.12
2026-09-14,Web,South,83,7172.03
2026-09-14,Web,West,67,5422.98
